[[88,89,84,85,88,89,84,85,88,89,84,85,88,89,84,85,88,89,84,85,88,89,84,85,88,89,84,85,88,89,84,85,88,89,84,85],
[84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81],
[80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85],
[84,85,80,81,119,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81],
[80,81,84,85,80,81,84,85,86,87,84,85,86,87,84,85,86,87,84,85,86,87,84,85,86,87,84,85,86,87,84,85,80,81,84,85],
[84,85,80,81,84,85,86,87,73,73,86,87,73,73,86,87,73,73,86,87,73,73,86,87,73,73,86,87,73,73,80,81,84,85,80,81],
[80,81,84,85,80,81,73,0,2,3,70,73,73,73,73,70,73,1,0,2,3,1,0,2,3,1,70,70,70,70,84,85,80,81,84,85],
[84,85,80,81,84,85,18,18,18,18,18,70,73,73,70,18,18,18,18,18,18,18,18,18,18,18,18,18,18,70,80,81,84,85,80,81],
[80,81,84,85,80,81,18,18,18,18,18,18,73,73,18,70,18,18,18,18,18,18,18,18,18,18,18,70,18,18,84,85,80,81,84,85],
[84,85,80,81,84,85,79,18,79,73,0,2,73,73,74,75,75,75,76,2,74,75,75,75,75,76,73,70,70,70,80,81,84,85,80,81],
[80,81,84,85,80,81,73,18,18,73,0,2,70,73,70,70,3,1,0,2,3,1,116,2,3,1,73,73,70,70,84,85,80,81,84,85],
[84,85,80,81,84,85,73,73,18,73,73,2,3,73,70,2,3,74,75,75,75,76,117,72,3,1,116,18,18,70,80,81,84,85,80,81],
[80,81,84,85,80,81,73,18,18,73,0,2,3,73,73,2,3,63,0,2,3,70,118,116,72,1,117,70,18,116,84,85,80,81,84,85],
[84,85,80,81,84,85,73,18,73,1,0,2,73,73,70,2,72,63,0,2,3,70,116,117,3,1,118,18,116,117,80,81,84,85,80,81],
[80,81,84,85,80,81,18,18,73,73,0,2,73,82,83,2,3,63,0,2,3,116,117,118,3,1,72,18,117,118,84,85,80,81,84,85],
[84,85,80,81,84,85,18,73,73,1,0,2,116,84,85,2,72,63,0,2,64,117,118,2,3,1,70,18,118,70,80,81,84,85,80,81],
[80,81,84,85,80,81,18,18,18,73,0,2,117,86,87,2,72,63,0,2,64,118,0,2,116,116,0,18,18,70,84,85,80,81,84,85],
[84,85,80,81,84,85,18,73,18,73,73,2,118,72,73,2,3,63,0,2,64,72,0,2,117,117,0,70,70,70,80,81,84,85,80,81],
[80,81,84,85,80,81,18,73,18,73,73,2,72,70,70,2,71,65,0,2,66,71,0,2,118,118,72,70,18,70,84,85,80,81,84,85],
[84,85,80,81,84,85,18,18,18,73,63,2,3,1,0,2,3,1,0,2,3,1,0,2,3,64,70,18,70,70,80,81,84,85,80,81],
[80,81,84,85,80,81,79,18,79,73,65,61,61,61,61,61,61,61,61,61,61,61,61,61,61,66,70,18,18,70,84,85,80,81,84,85],
[84,85,80,81,84,85,69,18,18,73,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,80,81,84,85,80,81],
[80,81,84,85,80,81,18,18,18,73,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,84,85,80,81,84,85],
[84,85,80,81,84,85,73,18,73,79,18,79,73,1,71,79,71,18,18,71,79,71,0,72,72,72,72,72,72,1,80,81,84,85,80,81],
[80,81,84,85,80,81,18,18,73,18,18,73,73,1,0,2,71,18,18,71,3,1,0,2,3,1,0,2,72,1,84,85,80,81,84,85],
[84,85,80,81,84,85,18,73,73,18,73,73,3,72,72,2,71,18,18,71,3,1,0,72,72,72,72,2,72,1,80,81,84,85,80,81],
[80,81,84,85,80,81,18,73,18,18,73,2,3,72,0,2,71,18,18,71,3,1,0,72,3,72,72,2,72,1,84,85,80,81,84,85],
[84,85,80,81,84,85,18,18,18,73,73,73,3,1,0,71,77,18,18,77,71,1,0,72,3,1,0,2,72,1,80,81,84,85,80,81],
[80,81,84,85,80,81,18,18,73,73,0,2,3,73,0,71,78,18,18,78,71,1,0,72,72,72,72,72,72,1,84,85,80,81,84,85],
[84,85,80,81,84,85,0,2,3,1,0,2,3,1,0,2,3,1,0,2,3,1,0,2,3,1,0,2,3,1,80,81,84,85,80,81],
[80,81,84,85,80,81,73,73,82,83,73,73,82,83,73,73,82,83,73,73,82,83,73,73,82,83,73,73,82,83,84,85,80,81,84,85],
[84,85,80,81,84,85,82,83,84,85,82,83,84,85,82,83,84,85,82,83,84,85,82,83,84,85,82,83,84,85,80,81,84,85,80,81],
[80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85],
[84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81],
[80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85,80,81,84,85],
[84,85,86,87,84,85,86,87,84,85,86,87,84,85,86,87,84,85,86,87,84,85,86,87,84,85,86,87,84,85,86,87,84,85,86,87]]
